Question                                          Correct Answer
----------------------------------------------------------------------
What is the largest mammal?                       A
Which element has the chemical symbol O?          A
What is the capital of France?                    B
What is the smallest country in the world?        A
What is the square root of 25?                    C
What is the largest planet in our solar system?   C
What is the largest mammal?                       A
What is the smallest country in the world?        A
What is the square root of 25?                    C
What is the largest mammal?                       A
